Date,Open,High,Low,Close,Volume,Adj Close,,Question 2,Question 3,Question 4
3/15/1993,39.25,40.25,36.75,38,3169200,1.11,,14738.73874,20%,LN Price
4/1/1993,38,40.25,34.25,38.75,4350100,1.13,,,,0.104360015
5/3/1993,39.5,48.75,39,48,8100100,1.4,,,,0.122217633
6/1/1993,48,49.75,44.5,49,4777000,1.43,,,,0.336472237
7/1/1993,48.75,54,47.5,47.5,6963800,1.39,,,,0.357674444
8/2/1993,48.25,50,43.75,48.5,6875200,1.42,,,,0.329303747
9/1/1993,48.25,54,26.75,27.38,7666500,1.6,,,,0.350656872
10/1/1993,27.5,28,25.25,26.75,4525300,1.56,,,,0.470003629
11/1/1993,26.25,27.25,20.5,22.25,4839500,1.3,,,,0.444685821
12/1/1993,22.75,24.75,20.75,22.25,4024000,1.3,,,,0.262364264
1/3/1994,22,24.5,19,24,9264700,1.4,,,,0.262364264
2/1/1994,24,25,21.5,23.25,4464200,1.36,,,,0.336472237
3/1/1994,22.75,25.5,21,24.38,7216200,1.42,,,,0.3074847
4/4/1994,23.5,30.75,22.75,29.75,10521900,1.74,,,,0.350656872
5/2/1994,29.5,30.25,24.5,28.5,6417900,1.67,,,,0.553885113
6/1/1994,28.5,32.5,24.75,25.25,7613200,1.48,,,,0.512823626
7/1/1994,25.25,30.75,23.5,29,8886700,1.69,,,,0.392042088
8/1/1994,29.25,29.75,26.5,28.25,5132000,1.65,,,,0.524728529
9/1/1994,28,29.75,22.25,23.06,11053700,1.35,,,,0.500775288
10/3/1994,23,28,21.5,27.12,6409900,1.59,,,,0.300104592
11/1/1994,26.75,29.25,25.75,26.81,8146000,1.57,,,,0.463734016
12/1/1994,26.75,28,24.38,27.5,5509700,1.61,,,,0.451075619
1/3/1995,27.25,27.38,23.5,24,6581100,1.4,,,,0.476234179
2/1/1995,23.88,26.5,22.5,23.88,6867000,1.4,,,,0.336472237
3/1/1995,24,25.69,22.25,24,10330000,1.4,,,,0.336472237
4/3/1995,24,26.12,23.25,23.5,10324600,1.37,,,,0.336472237
5/1/1995,23.62,31.5,23.5,29.06,13620400,1.7,,,,0.31481074
6/1/1995,29.06,37.25,27.75,35.62,15396500,2.08,,,,0.530628251
7/3/1995,35.75,42.25,34.88,37.38,14984000,2.18,,,,0.732367894
8/1/1995,37.38,40.62,36.88,40,6880400,2.34,,,,0.779324877
9/1/1995,40,44.25,36,37.88,20533600,2.21,,,,0.850150929
10/2/1995,38.38,39.75,33.88,39.25,12462000,2.29,,,,0.792992516
11/1/1995,39.38,45.12,38.88,42.25,11696900,2.47,,,,0.828551818
12/1/1995,42.12,42.12,19.12,21,7844000,2.45,,,,0.904218151
1/2/1996,21,21,14.5,16.75,16176300,1.96,,,,0.896088025
2/1/1996,16.88,18,16,17.62,10405200,2.06,,,,0.672944473
3/1/1996,18.12,23.62,17.88,23.31,12043100,2.72,,,,0.722705983
4/1/1996,24.62,29.38,24.12,27.12,13395300,3.17,,,,1.00063188
5/1/1996,27.38,29.62,25,27.12,6697700,3.17,,,,1.153731588
6/3/1996,27.12,28.5,25.25,28.25,6477800,3.3,,,,1.153731588
7/1/1996,28.12,29.88,23,26,8358000,3.04,,,,1.193922468
8/1/1996,26,34.12,26,32.75,7568500,3.83,,,,1.111857515
9/3/1996,32.25,35.88,31.75,33,8817400,3.86,,,,1.342864803
10/1/1996,33,40.25,32.5,32.5,12282300,3.8,,,,1.350667183
11/1/1996,32.62,36.62,31.75,34.62,8012600,4.05,,,,1.335001067
12/2/1996,34.88,36.75,28.5,28.62,8335200,3.35,,,,1.398716881
1/2/1997,28.62,35.88,27.38,34.25,9437500,4,,,,1.208960346
2/3/1997,34.25,37.25,32.75,33.62,6737900,3.93,,,,1.386294361
3/3/1997,33.62,33.88,29.38,29.62,9256500,3.46,,,,1.368639426
4/1/1997,29.62,31.25,26.12,29.88,10096600,3.49,,,,1.241268589
5/1/1997,29.88,34,27.88,31.5,10991200,3.68,,,,1.249901736
6/2/1997,31.62,39.5,29.5,38.94,13443900,4.55,,,,1.302912752
7/1/1997,39,41.62,34.12,40.94,11350900,4.78,,,,1.515127233
8/1/1997,40.75,43.25,37,41,9056700,4.79,,,,1.564440547
9/2/1997,41.12,44.75,39.75,41.81,7417100,4.89,,,,1.566530411
10/1/1997,41.62,41.88,32.12,33,11894900,3.86,,,,1.587192303
11/3/1997,33.12,36,31.25,34.88,7195700,4.08,,,,1.350667183
12/1/1997,35.62,40.5,35.5,38.38,6793800,4.48,,,,1.406096988
1/2/1998,38.38,38.62,33.12,36.56,8776400,4.27,,,,1.499623046
2/2/1998,37,40.12,36,39.56,8662700,4.62,,,,1.451613827
3/2/1998,39.56,46.44,38.12,45.31,7296500,5.3,,,,1.530394705
4/1/1998,45.38,49,42.5,48.12,8589500,5.62,,,,1.667706821
5/1/1998,48.25,49.88,44.5,48,6179400,5.61,,,,1.726331664
6/1/1998,47.62,54.75,46.56,53.44,8499800,6.25,,,,1.72455072
7/1/1998,53.62,59.94,41.62,41.88,15583000,4.89,,,,1.832581464
8/3/1998,42.19,43.25,30.88,31.56,16216800,3.69,,,,1.587192303
9/1/1998,31.88,42.25,28.75,36.19,17080500,4.23,,,,1.305626458
10/1/1998,35.5,44.25,31.5,43.38,15355600,5.07,,,,1.442201993
11/2/1998,43.62,49.25,41,46.12,11794800,5.39,,,,1.623340818
12/1/1998,47.06,56.25,47.06,56.12,8353500,6.56,,,,1.684545385
1/4/1999,55.62,56,46.88,52.06,13471100,6.08,,,,1.880990603
2/1/1999,52.12,54.19,46.38,52.88,8949900,6.18,,,,1.805004696
3/1/1999,53.38,63.75,27.88,28.06,9075400,6.56,,,,1.821318271
4/1/1999,28.25,39,28.25,36.94,7245200,8.63,,,,1.880990603
5/3/1999,37.5,41,33.56,36.88,7005400,8.62,,,,2.155244505
6/1/1999,36.88,38.5,33.44,37.56,7269400,8.78,,,,2.154085085
7/1/1999,24.27,28.38,23.19,23.25,30615700,5.43,,,,2.172476408
8/2/1999,23.5,24.25,19.88,22.88,11380100,5.35,,,,1.691939134
9/1/1999,22.94,26.56,20.44,24.78,10176100,5.79,,,,1.677096561
10/1/1999,24.75,27.62,21.38,27.19,11390400,6.35,,,,1.756132292
11/1/1999,26.88,31.06,25.88,26.56,10154200,6.21,,,,1.848454813
12/1/1999,26.56,29.12,23.75,24.25,8142800,5.67,,,,1.826160896
1/3/2000,23.88,32,23.12,32,16278300,7.48,,,,1.735189118
2/1/2000,31.75,36.19,30.38,35.12,10345100,8.21,,,,2.012232792
3/1/2000,35.12,45.25,32.62,44.81,9494700,10.47,,,,2.105352923
4/3/2000,40.19,43.5,30,30.23,16580500,7.07,,,,2.348514025
5/1/2000,31,35,28,34,9580100,7.95,,,,1.95586048
6/1/2000,34.12,39.5,32,38.19,15427500,8.93,,,,2.073171929
7/3/2000,38,42.75,35.94,37.5,8718800,8.77,,,,2.189416395
8/1/2000,37.47,44.12,34.56,36.62,8851600,8.56,,,,2.171336806
9/1/2000,38.25,41.75,35.88,40.06,5676000,9.36,,,,2.14710019
10/2/2000,40.12,44.88,36.75,44.69,8118000,10.45,,,,2.23644529
11/1/2000,44.31,50.81,43,45.56,12152800,10.65,,,,2.346601978
12/1/2000,46.25,47,41.38,44.25,8988300,10.34,,,,2.365559892
1/2/2001,43.92,50.06,40.38,49.94,10357000,11.67,,,,2.336019869
2/1/2001,49.38,51.31,46.25,47.62,9122100,11.13,,,,2.457021446
3/1/2001,47.5,49.06,38.56,42.44,11218600,9.92,,,,2.409644165
4/2/2001,42.56,43.56,18.5,19.35,15608600,9.05,,,,2.294552921
5/1/2001,19.35,21.53,18,19.52,9061500,9.13,,,,2.202764758
6/1/2001,20,23.31,18.93,23,7377400,10.75,,,,2.211565695
7/2/2001,22.49,22.9,17.9,18.04,9428900,8.43,,,,2.374905755
8/1/2001,18.13,19.09,16.8,16.87,8252400,7.89,,,,2.131796772
9/4/2001,16.86,17.32,13.46,14.94,11820700,6.98,,,,2.065596135
10/1/2001,14.8,17.95,14.16,17.12,8716500,8,,,,1.943048917
11/1/2001,17.15,19.55,16.68,17.72,9549500,8.28,,,,2.079441542
12/3/2001,17.63,19.97,17.6,19.05,7328100,8.91,,,,2.113842968
1/2/2002,19.11,23.88,19,23.77,10734400,11.11,,,,2.187174241
2/1/2002,23.85,23.85,20.82,23.01,6469400,10.76,,,,2.407845604
3/1/2002,23.56,24.53,22.35,23.13,6709500,10.81,,,,2.375835555
4/1/2002,23.07,25.7,22.64,22.82,7910900,10.67,,,,2.380471632
5/1/2002,22.85,24.5,21.93,24.28,8507600,11.35,,,,2.367436065
6/3/2002,24.3,25.3,22.44,24.85,9265500,11.62,,,,2.429217744
7/1/2002,24.42,24.96,18.44,19.63,11228600,9.18,,,,2.452727751
8/1/2002,19.52,21.82,18.47,20.1,7705600,9.4,,,,2.217027205
9/3/2002,19.99,21.57,19.6,20.66,7485100,9.66,,,,2.240709689
10/1/2002,20.66,24.1,20.66,23.84,9692200,11.14,,,,2.267993648
11/1/2002,24.05,24.16,20.85,21.74,7750700,10.16,,,,2.410542234
12/2/2002,22,22.09,20.18,20.38,6944100,9.53,,,,2.318458442
1/2/2003,20.47,23.3,19.62,22.72,8963600,10.62,,,,2.254444718
2/3/2003,22.67,23.52,21.6,23.45,8353500,10.96,,,,2.362739016
3/3/2003,23.62,26.52,22.2,25.76,9391900,12.04,,,,2.394252282
4/1/2003,25.81,26.87,23.35,23.51,10588300,10.99,,,,2.48823444
5/1/2003,23.42,24.83,22.8,24.67,9829400,11.53,,,,2.396985768
6/2/2003,24.56,25.46,23.75,24.55,7069500,11.48,,,,2.444952334
7/1/2003,24.95,27.77,24.78,27.33,8161600,12.78,,,,2.440606391
8/1/2003,27.4,28.53,26,28.39,5088200,13.27,,,,2.547881449
9/2/2003,28.09,30.95,28.06,28.8,7880600,13.46,,,,2.585505848
10/1/2003,29.04,32,28.8,31.6,5073600,14.77,,,,2.599722324
11/3/2003,31.36,33.05,30,32.17,5819000,15.04,,,,2.692598097
12/1/2003,32.08,33.43,31.42,33.16,4838700,15.5,,,,2.710713319
1/2/2004,33.45,36.81,32.9,36.61,7217800,17.11,,,,2.740840024
2/2/2004,36.82,39.68,36,37.4,7621800,17.48,,,,2.839663088
3/1/2004,37.89,38.74,36.51,37.87,6473300,17.7,,,,2.86105737
4/1/2004,38.14,39.91,36.74,38.92,5974400,18.19,,,,2.87356464
5/3/2004,38.82,41.2,37.03,40.6,6205400,18.98,,,,2.900871993
6/1/2004,40.7,44.4,40.62,43.49,6077200,20.33,,,,2.943385793
7/1/2004,44.65,48.4,44.02,46.99,7604900,21.97,,,,3.012097628
8/2/2004,46.87,47.13,42.05,43.24,7669800,20.21,,,,3.089677886
9/1/2004,42.99,46.29,42.79,45.46,5226800,21.25,,,,3.006177531
10/1/2004,45.97,53.25,45.29,52.88,7314000,24.72,,,,3.056356895
11/1/2004,52.92,57,52.6,56.26,6063200,26.3,,,,3.207612633
12/1/2004,56.33,64.26,56.29,62.36,6022800,29.15,,,,3.269568939
1/3/2005,63.29,63.34,52.1,54,12119800,25.24,,,,3.372454913
2/1/2005,54.16,54.98,49.14,51.81,8706700,24.22,,,,3.228430038
3/1/2005,51.89,55.59,50.72,51.66,6383600,24.15,,,,3.187178738
4/1/2005,52.23,52.38,44.58,49.52,10609100,23.15,,,,3.18428438
5/2/2005,49.9,55.72,49.2,54.79,6564900,25.61,,,,3.141994781
6/1/2005,54.92,56.9,51.52,51.66,5501900,24.15,,,,3.2429829
7/1/2005,51.73,54.39,49.28,52.55,7140300,24.57,,,,3.18428438
8/1/2005,52.55,52.77,48,49.03,5057900,22.92,,,,3.201526187
9/1/2005,49.8,50.16,46.01,50.1,6704000,23.42,,,,3.132009892
10/3/2005,50.31,55.25,26.87,28.28,7031700,26.44,,,,3.153590358
11/1/2005,28.3,32,28.07,30.45,5806900,28.47,,,,3.274878015
12/1/2005,30.34,32.46,29.94,30.01,4481200,28.06,,,,3.348850901
1/3/2006,30.57,32.32,29.9,31.7,4410800,29.64,,,,3.334345075
2/1/2006,31.28,36.87,31.14,36.32,6791500,33.96,,,,3.3891248
3/1/2006,36.33,38.11,34.73,37.63,5098600,35.18,,,,3.525183361
4/3/2006,37.98,39.5,36.77,37.27,5459000,34.85,,,,3.560477739
5/1/2006,37.63,39.88,34.6,35.65,7918100,33.33,,,,3.551053137
6/1/2006,35.49,38.02,34.91,37.76,6046900,35.3,,,,3.506457892
7/3/2006,37.96,38.33,32.93,34.23,7994100,32,,,,3.563882964
8/1/2006,33.99,33.99,28.72,31.01,11989600,28.99,,,,3.465735903
9/1/2006,31.61,35.04,30.53,34.05,8194200,31.84,,,,3.366950943
10/2/2006,34.15,39.5,33.61,37.75,8627800,35.3,,,,3.460723361
11/1/2006,37.99,40.01,35.16,35.29,8192600,33,,,,3.563882964
12/1/2006,35.25,37.14,34.9,35.42,5455800,33.12,,,,3.496507561
1/3/2007,35.6,36.61,33.49,34.94,8635100,32.67,,,,3.50013733
2/1/2007,35.13,35.42,30.24,30.9,10784200,28.89,,,,3.486457226
3/1/2007,30.2,32.45,28.86,31.36,12966000,29.32,,,,3.363495514
4/2/2007,31.54,32.3,30.3,31.02,9228800,29,,,,3.378269877
5/1/2007,31.16,31.9,28.03,28.81,15132000,26.94,,,,3.36729583
6/1/2007,28.8,29.15,25.22,26.24,18001300,24.53,,,,3.293612171
7/2/2007,26.4,28.5,25.63,26.68,16492900,24.95,,,,3.199896858
8/1/2007,26.51,28.6,26.03,27.55,12381800,25.76,,,,3.216873822
9/4/2007,27.67,28.19,25.95,26.2,11225900,24.5,,,,3.248822901
10/1/2007,26.27,26.92,25.63,26.68,9327000,24.95,,,,3.198673118
11/1/2007,26.4,26.68,21.77,23.39,20240200,21.87,,,,3.216873822
12/3/2007,23.23,23.43,19.89,20.47,12201200,19.14,,,,3.085115835
1/2/2008,20.14,21.01,17.66,18.91,24534800,17.68,,,,2.951780386
2/1/2008,18.97,19.35,17.75,17.98,13260300,16.81,,,,2.872434057
3/3/2008,18.02,18.5,16.77,17.5,15459300,16.36,,,,2.821973947
,,,,,,,,,,2.794839331
